FET,DAP,TF,Dropout
13.02,0.00,4,0
22.10,0.00,5,0
29.44,5.07,4,0
5.80,0.00,18,0
0.67,0.54,14,0
12.74,0.00,4,0
21.92,0.00,5,0
29.26,5.04,4,0
5.45,0.00,18,0
0.37,0.49,15,0
12.46,0.00,4,0
21.74,0.00,5,0
29.08,5.01,4,0
5.10,0.00,18,0
0.07,0.44,15,0
12.18,0.00,4,0
21.56,0.00,5,0
28.90,4.98,4,0
4.75,0.00,18,0
0.00,0.39,15,0
11.90,0.00,4,0
21.38,0.00,5,0
28.72,4.95,4,0
4.40,0.00,18,0
0.00,0.34,15,0
11.62,0.00,4,0
21.20,0.00,5,0
28.54,4.92,4,0
4.05,0.00,18,0
0.00,0.29,15,0
11.34,0.00,4,0
21.02,0.00,5,0
28.36,4.89,4,0
3.70,0.00,19,0
0.00,0.24,15,0
11.06,0.00,4,0
20.84,0.00,5,0
28.18,4.86,4,0
3.35,0.00,19,0
0.00,0.19,15,0
10.78,0.00,4,0
20.66,0.00,5,0
28.00,4.83,4,0
3.00,0.00,19,0
0.00,0.14,16,0
10.50,0.00,4,0
20.48,0.00,5,0
27.82,4.80,4,0
2.65,0.00,19,0
0.00,0.09,16,0
10.22,0.00,4,0
20.30,0.00,5,0
27.64,4.77,4,0
2.30,0.00,19,0
0.00,0.04,16,0
9.94,0.00,4,0
20.12,0.00,5,0
27.46,4.74,4,0
1.95,0.00,19,0
0.00,0.00,16,0
9.66,0.00,4,0
19.94,0.00,5,0
27.28,4.71,4,0
1.60,0.00,20,0
0.00,0.00,16,0
9.38,0.00,4,0
19.76,0.00,5,0
27.10,4.68,4,0
1.25,0.00,20,0
0.00,0.00,16,0
9.10,0.00,4,0
19.58,0.00,5,0
26.92,4.65,4,0
0.90,0.00,20,0
0.00,0.00,16,0
8.82,0.00,4,0
19.40,0.00,5,0
26.74,4.62,4,0
0.55,0.00,20,0
0.00,0.00,17,0
8.54,0.00,4,0
19.22,0.00,5,0
26.56,4.59,4,0
0.20,0.00,20,0
0.00,0.00,17,0
8.26,0.00,4,0
19.04,0.00,5,0
26.38,4.56,4,0
0.00,0.00,20,0
0.00,0.00,17,0
7.98,0.00,4,0
18.86,0.00,5,0
26.20,4.53,4,0
0.00,0.00,20,0
0.00,0.00,17,0
7.70,0.00,4,0
18.68,0.00,5,0
26.02,4.50,4,0
0.00,0.00,20,0
0.00,0.00,17,0
7.42,0.00,4,0
18.50,0.00,5,0
25.84,4.47,4,0
0.00,0.00,20,0
0.00,0.00,18,0
7.14,0.00,4,0
18.32,0.00,5,0
25.66,4.44,4,0
0.00,0.00,20,0
0.00,0.00,18,0
6.86,0.00,4,0
18.14,0.00,5,0
25.48,4.41,4,0
0.00,0.00,20,0
0.00,0.00,18,0
6.58,0.00,4,0
17.96,0.00,5,0
25.30,4.38,4,0
0.00,0.00,20,0
0.00,0.00,18,0
6.30,0.00,4,0
17.78,0.00,5,0
25.12,4.35,4,0
0.00,0.00,20,0
0.00,0.00,18,0
6.02,0.00,4,0
17.60,0.00,5,0
24.94,4.32,4,0
0.00,0.00,20,0
0.00,0.00,19,0
5.74,0.00,4,0
17.42,0.00,5,0
24.76,4.29,4,0
0.00,0.00,20,0
0.00,0.00,19,0
5.46,0.00,4,0
17.24,0.00,5,0
24.58,4.26,4,0
0.00,0.00,20,0
0.00,0.00,19,0
5.18,0.00,4,0
17.06,0.00,5,0
24.40,4.23,4,0
0.00,0.00,20,0
0.00,0.00,19,0
4.90,0.00,4,0
16.88,0.00,5,0
24.22,4.20,4,0
0.00,0.00,20,0
0.00,0.00,20,0
4.62,0.00,4,0
16.70,0.00,5,0
24.04,4.17,4,0
0.00,0.00,20,0
0.00,0.00,20,0
4.34,0.00,4,0
16.52,0.00,5,0
23.86,4.14,4,0
0.00,0.00,20,0
0.00,0.00,20,0
4.06,0.00,4,0
16.34,0.00,5,0
23.68,4.11,4,0
0.00,0.00,20,0
0.00,0.00,20,0
3.78,0.00,4,0
16.16,0.00,5,0
23.50,4.08,4,0
0.00,0.00,20,0
0.00,0.00,20,0
3.50,0.00,4,0
15.98,0.00,5,0
23.32,4.05,4,0
0.00,0.00,20,0
0.00,0.00,20,0
3.22,0.00,4,0
15.80,0.00,5,0
23.14,4.02,4,0
0.00,0.00,20,0
0.00,0.00,20,0
2.94,0.00,4,0
15.62,0.00,5,0
22.96,3.99,4,0
0.00,0.00,20,0
0.00,0.00,20,0
2.66,0.00,4,0
15.44,0.00,5,0
22.78,3.96,4,0
0.00,0.00,20,0
0.00,0.00,20,0
2.38,0.00,4,0
15.26,0.00,5,0
22.60,3.93,4,0
0.00,0.00,20,0
0.00,0.00,20,0
2.10,0.00,4,0
15.08,0.00,5,0
22.42,3.90,4,0
0.00,0.00,20,0
0.00,0.00,20,0
1.82,0.00,4,0
14.90,0.00,5,0
22.24,3.87,4,0
0.00,0.00,20,0
0.00,0.00,20,0
1.54,0.00,4,0
14.72,0.00,5,0
22.06,3.84,4,0
0.00,0.00,20,0
0.00,0.00,20,0
1.26,0.00,4,0
14.54,0.00,5,0
21.88,3.81,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.98,0.00,4,0
14.36,0.00,5,0
21.70,3.78,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.70,0.00,4,0
14.18,0.00,5,0
21.52,3.75,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.42,0.00,4,0
14.00,0.00,5,0
21.34,3.72,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.14,0.00,4,0
13.82,0.00,5,0
21.16,3.69,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
13.64,0.00,5,0
20.98,3.66,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
13.46,0.00,5,0
20.80,3.63,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
13.28,0.00,5,0
20.62,3.60,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
13.10,0.00,5,0
20.44,3.57,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
12.92,0.00,5,0
20.26,3.54,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
12.74,0.00,5,0
20.08,3.51,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
12.56,0.00,5,0
19.90,3.48,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
12.38,0.00,5,0
19.72,3.45,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
12.20,0.00,5,0
19.54,3.42,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
12.02,0.00,5,0
19.36,3.39,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
11.84,0.00,5,0
19.18,3.36,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
11.66,0.00,5,0
19.00,3.33,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
11.48,0.00,5,0
18.82,3.30,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
11.30,0.00,5,0
18.64,3.27,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
11.12,0.00,5,0
18.46,3.24,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
10.94,0.00,5,0
18.28,3.21,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
10.76,0.00,5,0
18.10,3.18,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
10.58,0.00,5,0
17.92,3.15,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
10.40,0.00,5,0
17.74,3.12,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
10.22,0.00,5,0
17.56,3.09,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
10.04,0.00,5,0
17.38,3.06,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
9.86,0.00,5,0
17.20,3.03,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
9.68,0.00,5,0
17.02,3.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
9.50,0.00,5,0
16.84,2.97,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
9.32,0.00,5,0
16.66,2.94,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
9.14,0.00,5,0
16.48,2.91,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
8.96,0.00,5,0
16.30,2.88,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
8.78,0.00,5,0
16.12,2.85,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
8.60,0.00,5,0
15.94,2.82,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
8.42,0.00,5,0
15.76,2.79,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
8.24,0.00,5,0
15.58,2.76,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
8.06,0.00,5,0
15.40,2.73,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
7.88,0.00,5,0
15.22,2.70,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
7.70,0.00,5,0
15.04,2.67,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
7.52,0.00,5,0
14.86,2.64,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
7.34,0.00,5,0
14.68,2.61,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
7.16,0.00,5,0
14.50,2.58,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.98,0.00,5,0
14.32,2.55,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.80,0.00,5,0
14.14,2.52,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.62,0.00,5,0
13.96,2.49,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.44,0.00,5,0
13.78,2.46,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.26,0.00,5,0
13.60,2.43,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.08,0.00,5,0
13.42,2.40,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.90,0.00,5,0
13.24,2.37,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.72,0.00,5,0
13.06,2.34,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.54,0.00,5,0
12.88,2.31,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.36,0.00,5,0
12.70,2.28,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.18,0.00,5,0
12.52,2.25,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.00,0.00,5,0
12.34,2.22,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.82,0.00,5,0
12.16,2.19,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.64,0.00,5,0
11.98,2.16,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.46,0.00,5,0
11.80,2.13,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.28,0.00,5,0
11.62,2.10,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.10,0.00,5,0
11.44,2.07,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.92,0.00,5,0
11.26,2.04,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.74,0.00,5,0
11.08,2.01,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.56,0.00,5,0
10.90,1.98,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.38,0.00,5,0
10.72,1.95,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.20,0.00,5,0
10.54,1.92,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.02,0.00,5,0
10.36,1.89,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.84,0.00,5,0
10.18,1.86,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.66,0.00,5,0
10.00,1.83,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.48,0.00,5,0
9.82,1.80,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.30,0.00,5,0
9.64,1.77,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.12,0.00,5,0
9.46,1.74,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.94,0.00,5,0
9.28,1.71,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.76,0.00,5,0
9.10,1.68,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.58,0.00,5,0
8.92,1.65,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.40,0.00,5,0
8.74,1.62,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.22,0.00,5,0
8.56,1.59,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.04,0.00,5,0
8.38,1.56,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.86,0.00,5,0
8.20,1.53,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.68,0.00,5,0
8.02,1.50,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.50,0.00,5,0
7.84,1.47,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.32,0.00,5,0
7.66,1.44,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.14,0.00,5,0
7.48,1.41,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,5,0
7.30,1.38,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,5,0
7.12,1.35,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,5,0
6.94,1.32,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.76,1.29,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.58,1.26,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.40,1.23,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.22,1.20,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
6.04,1.17,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.86,1.14,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.68,1.11,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.50,1.08,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.32,1.05,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
5.14,1.02,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.96,0.99,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.78,0.96,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.60,0.93,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.42,0.90,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.24,0.87,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
4.06,0.84,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.88,0.81,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.70,0.78,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.52,0.75,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.34,0.72,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
3.16,0.69,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.98,0.66,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.80,0.63,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.62,0.60,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.44,0.57,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.26,0.54,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
2.08,0.51,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.90,0.48,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.72,0.45,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.54,0.42,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.36,0.39,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.18,0.36,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
1.00,0.33,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.82,0.30,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.64,0.27,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.46,0.24,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.28,0.21,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.10,0.18,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.15,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.12,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.09,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.06,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.03,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
0.00,0.00,20,0
0.00,0.00,4,0
0.00,0.00,4,0
0.00,0.00,20,0
